DOR CODE,Name,Rating Agency,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2017,2019,2020,2021,2023
5,Agawam,S&P,A+ (SPUR),A+,A+,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
10,Arlington,S&P,AA,AA,AA,AAA,AA,AA,AA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
16,Attleboro,S&P,A (SPUR),A,A,AA+,A,A,A,A+,A+,A+,A+,A+,AA,AA,AA,AA,AA,AA,AA
20,Barnstable,S&P,AA,AA,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
23,Bedford,S&P,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA,AAA
24,Belchertown,S&P,A,A,A,A,A,A,A,A,A+,A+,A+,A+,A+,A+,AA,AA,AA,AA,AA
25,Bellingham,S&P,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
31,Billerica,S&P,AA-,AA-,AA-,AA-,AA-,AA-,AA-,AA,AA,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA+
32,Blackstone,S&P,A-,A-,A-,A-,A-,A-,A-,A-,AA-,AA-,AA-,AA-,AA+,AA+,AA+,AA+,AA+,AA+,AA+
35,Boston,S&P,AA-,AA-,AA-,AA,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AAA,AAA,AAA,AAA,AAA,AAA,AAA
40,Braintree,S&P,AA,AA,AA,AA,AA,AA,AA,AA-,AA-,AA-,AA,AA,AA+,AA+,AA+,AA+,AA+,AA+,AA
